color,make,model,model_variant,cityPurple,Mercedes-Benz,S 500,S 500,Zuzwil
Silver,Mercedes-Benz,E 55 AMG,E 55 AMG Avantgarde,Zuzwil
Other,Ferrari,F430,F430,Zuzwil
Yellow,Mazda,626,626 2.0i-16V HPV,Zuzwil
Gray,Jaguar,S-TYPE,S-Type 4.2 V8 S/C R,Zuzwil
Gray,Audi,A8,A8 4.2 quattro,Zuzwil
Green,Mercedes-Benz,SL 63 AMG,SL 63 AMG,Zuzwil
Gray,Porsche,CAYENNE,Cayenne Turbo Techart Magnum Kit,Zuzwil
Black,Ferrari,F355,F355 Berlinetta,Zuzwil
Black,Porsche,911,911 Carrera 4S Cabrio,Zuzwil
Silver,Alpina,3 SERIES,B3 3.3 S,Zuzwil
Silver,Mercedes-Benz,ML 400,ML 400 CDI,Zuzwil
White,Peugeot,205,Turbo 16V,Zuzwil
Gray,BMW,530 Gran Turismo,530d GT,Zuzwil
Gray,Porsche,CAYENNE,Cayenne S,Zuzwil
Black,Mercedes-Benz,B 200,B 200 T Sailing Edition,Zuzwil
Blue,Mercedes-Benz,SL 55 AMG,SL 55 AMG,Zuzwil
White,Mercedes-Benz,CL 600,CL 600,Zuzwil
Blue,Mercedes-Benz,E 63 AMG,E 63 AMG S 4Matic,Zuzwil
Green,Aston Martin,DBS,DBS Volante,Zuzwil
Black,Mercedes-Benz,SL 320,SL 320,Zuzwil
Blue,Mercedes-Benz,E 55 AMG,E 55 AMG Avantgarde,Zuzwil
Gray,Audi,A8,A8 4.2 quattro,Zuzwil
Gray,Mercedes-Benz,SLK 200,SLK 200,Zuzwil
Green,Mercedes-Benz,S 600,S 600,Zuzwil
Green,Porsche,911,911 Turbo S Cabrio SPEED ART 580PS,Zuzwil
Black,Renault,null,DAUPHINE GORDINI,Zuzwil
Black,Porsche,911,911 Carrera Cabrio,Zuzwil
Silver,BMW,750,750iL,Zuzwil
Silver,BMW,M5,M5,Zuzwil
Silver,Maserati,COUPÉ GT,Coupé GT,Zuzwil
White,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Blue,Subaru,IMPREZA,Impreza 2.5T WRX,Zuzwil
Gray,VW,BEETLE,New Beetle Cup,Zuzwil
Black,Lamborghini,AVENTADOR,Aventador LP700-4 Rds,Zuzwil
Black,Porsche,CAYENNE,Cayenne Turbo,Zuzwil
Black,Porsche,911,911 Carrera Cabrio,Zuzwil
Black,Alpina,3 SERIES,B3 3.2 Coupé S.Tronic,Zuzwil
Gray,Ferrari,F355,F355 GTS,Zuzwil
Black,Mercedes-Benz,E 63 AMG,E 63 AMG,Zuzwil
Silver,Mercedes-Benz,S 65 AMG,S 65 AMG L,Zuzwil
Silver,Porsche,PANAMERA,Panamera 4S 4.8,Zuzwil
Blue,Mercedes-Benz,SL 320,SL 320,Zuzwil
Yellow,Mercedes-Benz,190,190 E 2.5-16 Evo II ABS,Zuzwil
Green,Land Rover,RANGE ROVER,Range Rover 4.6 HSE,Zuzwil
Black,Lamborghini,GALLARDO,Gallardo LP560-4 Coupé,Zuzwil
Black,BMW,X5,X5 4.4i,Zuzwil
Black,BMW,X5,X5 4.6is,Zuzwil
Silver,Mercedes-Benz,E 430,E 430 Avantgarde,Zuzwil
Silver,Datsun,280,ZX,Zuzwil
White,Bentley,CONTINENTAL,Continental FlyingSpur6.0,Zuzwil
White,AGM,null,WLR,Zuzwil
Gray,Ferrari,456,456M GTA,Zuzwil
Black,Porsche,911,911 GT3 RS,Sursee
Black,Mercedes-Benz,CL 600,CL 600,Zuzwil
Silver,Ferrari,575M,575M,Zuzwil
Purple,Chevrolet,CORVETTE,C2,Zuzwil
Gray,Aston Martin,Virage,Virage,Zuzwil
Gray,Audi,RS6,RS6 Avant quattro,Zuzwil
Gray,Mercedes-Benz,S 320,S 320 CDI,Zuzwil
Black,Porsche,911,911 GT3,Zuzwil
Blue,Porsche,911,911 Turbo,Zuzwil
Black,Jaguar,XK,XKR S/C Convertible,Zuzwil
Black,Smart,FORTWO,Fortwo passion,Zuzwil
Silver,Mercedes-Benz,SL 65 AMG,BLACK SERIES,Zuzwil
Silver,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Blue,Audi,RS6,RS6 Avant 4.0 TFSI V8 qu,Zuzwil
White,Bentley,ARNAGE,Arnage Green Label,Zuzwil
Other,Audi,A6,A6 Avant 2.7 T q.Ambiente,Zuzwil
Gray,Renault,Alpine A110,1600 SX,Zuzwil
Gray,Porsche,PANAMERA,Panamera Turbo 4.8,Zuzwil
Red,Ferrari,F360,F360 Spider,Zuzwil
Silver,Renault,ALPINE,Alpine A310 V6,Zuzwil
Green,Fiat,Dino,2400 Coupé,Zuzwil
Black,Audi,S6,S6 Avant quattro 4.2,Zuzwil
Black,Maserati,QUATTROPORTE,Quattroporte 4.2,Zuzwil
Blue,Jaguar,XJ,XJ8 4.2 V8 Sovereign,Zuzwil
White,Mercedes-Benz,S 65 AMG,S 65 AMG L,Zuzwil
Orange,Porsche,911,GT3 CUP Rennwagen,Zuzwil
Red,Ferrari,F355,F355 Spider,Zuzwil
Black,Mercedes-Benz,SLK 200,SLK 200 Kompressor,Zuzwil
Black,Renault,ALPINE,Alpine A310 V6,Zuzwil
Silver,Porsche,PANAMERA,Panamera 4S 4.8,Zuzwil
